Membership No  Date Joined  Active  
    17591      2016-8-7     no    
    68757      2015-3-20    no    
    52896      2016-4-6     no    
    73622      2018-1-14    no    
    88645      2017-6-16    no    
    48578      2017-5-2     no    
    40256      2017-2-23    no    
    69697      2019-4-4     no    
    57179      2019-7-18    no    
    44644      2017-10-1    no    
    70380      2019-4-18    no    
    95670      2015-12-13   no    
    86504      2018-8-22    no    
    37473      2020-3-3     no    
